Datetime,Username,Text,Retweets,Replies,Likes,Quotes,Language,Location,Hashtags
19:12:31 15:00:35,ifparty123,"時には筋肉対決も勃発します(笑)

#国際交流 #IFP #学生 #パーティー #イベント #交流会 #学生団体 
#インカレ #サークル #留学 #英会話 #留学生 #外国人の友だちをつくろう
https://t.co/SNEtSwFFj4",0,0,0,0,ja,"新宿, 渋谷，横浜, 吉祥寺","['国際交流', 'IFP', '学生', 'パーティー', 'イベント', '交流会', '学生団体', 'インカレ', 'サークル', '留学', '英会話', '留学生', '外国人の友だちをつくろう']"
19:12:29 09:54:16,kenhamazaki,"KIX
#kenhamazaki #red #redman #inflightpainting #ifp #rimowa #airport #united #staralliance #kix https://t.co/EKv48Loj5Q",0,0,0,0,und,,"['kenhamazaki', 'red', 'redman', 'inflightpainting', 'ifp', 'rimowa', 'airport', 'united', 'staralliance', 'kix']"
19:12:29 09:50:59,kenhamazaki,"""IFP#206 UA35 SFO→KIX 28DEC Rising Sun Flag↓"" 
https://t.co/lrxaRi9jvr
#kenhamazaki #red #redman #inflightpainting #ifp #maze #mazepainting #rimowa #airport #united #staralliance #sfo #kix #risingsunflag… https://t.co/UYN2ARkdE4",0,0,0,0,da,,"['kenhamazaki', 'red', 'redman', 'inflightpainting', 'ifp', 'maze', 'mazepainting', 'rimowa', 'airport', 'united', 'staralliance', 'sfo', 'kix', 'risingsunflag']"
19:12:28 16:58:57,kenhamazaki,"SFO
#kenhamazaki #red #redman #inflightpainting #ifp #rimowa #airport #united #staralliance #polarislaunge #sfo https://t.co/BORgRRXAsj",0,0,0,0,und,,"['kenhamazaki', 'red', 'redman', 'inflightpainting', 'ifp', 'rimowa', 'airport', 'united', 'staralliance', 'polarislaunge', 'sfo']"
19:12:28 10:44:08,kenhamazaki,"SFO
#kenhamazaki #red #redman #inflightpainting #ifp #rimowa #insleepdrawing #isd #nega #purple #airport #united #staralliance #sfo https://t.co/GwsRnWfwgB",0,0,0,0,und,,"['kenhamazaki', 'red', 'redman', 'inflightpainting', 'ifp', 'rimowa', 'insleepdrawing', 'isd', 'nega', 'purple', 'airport', 'united', 'staralliance', 'sfo']"
19:12:28 10:40:14,kenhamazaki,"""IFP#205 UA1526 EWR→SFO 27DEC Lou Reed↑ -yellow-""
https://t.co/lrxaRhRIDT
#kenhamazaki #red #redman #inflightpainting #ifp #maze #mazepainting #rimowa #airport #united #staralliance #ewr #sfo #loureed… https://t.co/hrxBawmJwg",0,0,0,0,en,,"['kenhamazaki', 'red', 'redman', 'inflightpainting', 'ifp', 'maze', 'mazepainting', 'rimowa', 'airport', 'united', 'staralliance', 'ewr', 'sfo', 'loureed']"
19:12:28 04:49:37,timmy_roger,#Awnkafina is Best Actress by @thefarewell at the #gothamawards #IFP https://t.co/axAGzW4xhy,0,0,0,0,en,,"['Awnkafina', 'gothamawards', 'IFP']"
19:12:28 00:28:03,kenhamazaki,"EWR
#kenhamazaki #red #redman #inflightpainting #ifp #rimowa #airport #united #staralliance #ewr https://t.co/MvTzWpjK6L",0,0,1,0,und,,"['kenhamazaki', 'red', 'redman', 'inflightpainting', 'ifp', 'rimowa', 'airport', 'united', 'staralliance', 'ewr']"
19:12:27 01:00:37,ifparty123,"196ヵ国 196通りの生き方 

#国際交流 #IFP #学生 #パーティー #イベント #交流会 #学生団体 
#インカレ #サークル #留学 #英会話 #留学生 #外国人の友だちをつくろう
https://t.co/CuUnevmThl",0,0,0,0,ja,"新宿, 渋谷，横浜, 吉祥寺","['国際交流', 'IFP', '学生', 'パーティー', 'イベント', '交流会', '学生団体', 'インカレ', 'サークル', '留学', '英会話', '留学生', '外国人の友だちをつくろう']"
19:12:25 00:41:39,BenQ_APAC,"Thank you for all the support in 2019.✨BenQ Asia Pacific wish you a Merry Christmas and Happy New Year✨🎄✨See how many BenQ products you can find in the photo? 

#MerryChristmas #BenQ #Projector #IFP #No1DLP
#DisplaySolutionExpert #LCD #DigitalSignage #Monitor #ZOWIE https://t.co/gW1rXTZVXX",0,0,3,0,en,Asia Pacific,"['MerryChristmas', 'BenQ', 'Projector', 'IFP', 'No1DLP', 'DisplaySolutionExpert', 'LCD', 'DigitalSignage', 'Monitor', 'ZOWIE']"
19:12:22 04:01:04,kenhamazaki,"EWR
#kenhamazaki #red #redman #inflightpainting #ifp #rimowa #airport #united #staralliance #ewr https://t.co/UcWsAg19cx",0,0,0,0,und,,"['kenhamazaki', 'red', 'redman', 'inflightpainting', 'ifp', 'rimowa', 'airport', 'united', 'staralliance', 'ewr']"
19:12:22 03:58:22,kenhamazaki,"""IFP#204 UA1206 MBJ→EWR 21DEC Bob Marley↑ -rasta color-"" 
https://t.co/lrxaRhRIDT
#kenhamazaki #red #redman #inflightpainting #ifp #maze #mazepainting #rimowa #airport #united #staralliance #mbj #ewr… https://t.co/vtRRoJG8tp",0,0,0,0,no,,"['kenhamazaki', 'red', 'redman', 'inflightpainting', 'ifp', 'maze', 'mazepainting', 'rimowa', 'airport', 'united', 'staralliance', 'mbj', 'ewr']"
19:12:21 07:10:43,SA_issues,We will just remove any trace of even the whole @MYANC in KZN and install an #IFP government the very next election 🗳. CR can’t keep putting assets in markets black people cant participate in. https://t.co/qVkMA1Cf1j,0,0,0,0,en,South Africa,['IFP']
19:12:20 21:47:05,kenhamazaki,"Bob Marley Museum / Kington, Jamaica
https://t.co/lrxaRhRIDT
#kenhamazaki #red #redman #inflightpainting #ifp #maze #mazepainting #bobmarley #kingston #jamaica https://t.co/wSl67EnBQF",1,0,0,0,en,,"['kenhamazaki', 'red', 'redman', 'inflightpainting', 'ifp', 'maze', 'mazepainting', 'bobmarley', 'kingston', 'jamaica']"
19:12:20 15:13:06,ifp_tuebingen,Neu erschienen: Der IfP-Newsletter No. 17 mit Informationen und Rückblicken zum Institut zwischen März und Oktober 2019 #IfP #Politikwissenschaft #Politologie https://t.co/4RHrHu5ewR,0,0,1,0,de,Tübingen,"['IfP', 'Politikwissenschaft', 'Politologie']"
19:12:20 15:10:54,wystrach,#Papst em. Benedikt XVI. hat eine neue #Medien-Stiftung gegründet. Sie ist bei »@DieTagespost« angesiedelt und nicht bei der von der #DBK unterstützten Katholischen Journalistenschule @ifpmuenchen. Wie bewertet man das beim #IFP? https://t.co/yrbQKcSOZa #Ausbildung #Journalismus,0,1,0,0,de,kirche.social/@wystrach,"['Papst', 'Medien', 'DBK', 'IFP', 'Ausbildung', 'Journalismus']"
19:12:19 21:13:48,kenhamazaki,"MBJ
#kenhamazaki #red #redman #inflightpainting #ifp #rimowa #airport #united #staralliance #mbj https://t.co/xjljUW7pNl",0,0,1,0,und,,"['kenhamazaki', 'red', 'redman', 'inflightpainting', 'ifp', 'rimowa', 'airport', 'united', 'staralliance', 'mbj']"
19:12:19 21:12:32,kenhamazaki,"""IFP#203 UA1627 EWR→MBJ 20DEC Bob Marley↓ -rasta color-""
https://t.co/lrxaRhRIDT
#kenhamazaki #red #redman #inflightpainting #ifp #maze #mazepainting #rimowa #airport #united #staralliance #ewr #mbj… https://t.co/cqzCwalvs1",0,0,1,0,no,,"['kenhamazaki', 'red', 'redman', 'inflightpainting', 'ifp', 'maze', 'mazepainting', 'rimowa', 'airport', 'united', 'staralliance', 'ewr', 'mbj']"
19:12:19 10:27:46,kenhamazaki,"EWR
#kenhamazaki #red #redman #inflightpainting #ifp #rimowa #airport #united #staralliance #ewr https://t.co/exvYaTmF4E",0,0,1,0,und,,"['kenhamazaki', 'red', 'redman', 'inflightpainting', 'ifp', 'rimowa', 'airport', 'united', 'staralliance', 'ewr']"
19:12:19 03:02:57,kenhamazaki,"Lou Reed Mosaic By Chuck Close 86th Street Station Second Avenue Subway / New York, NY, USA
https://t.co/lrxaRhRIDT
#kenhamazaki #red #redman #inflightpainting #ifp #maze #mazepainting #loureed #mosaic #mural… https://t.co/e90aYYeuYp",0,0,0,0,en,,"['kenhamazaki', 'red', 'redman', 'inflightpainting', 'ifp', 'maze', 'mazepainting', 'loureed', 'mosaic', 'mural']"
