Datetime,Text,Username,Retweets,Location,Hashtags
17:12:31 23:59:15,"Take a minute and go vote for us for Best Bouncers and Best Rock Club! #boc2018 #vote
Vote:… https://t.co/1KNGc4FPr9",MusicFarm,0,"32 Ann St. Charleston, SC","['boc2018', 'vote']"
17:12:31 23:59:02,#NewYearsEve is such an exciting time!! #Latinos are getting energized about 2018 - our chance to #VOTE . Same word (same powerful results) both in English and Spanish! Register early.,LatinosMatter,0,USA,"['NewYearsEve', 'Latinos', 'VOTE']"
17:12:31 23:58:20,Midterms are just around the corner and the fact they didn't vote for the tax cut says it all. You can help more people than the government can.  #Republican #Vote #HelpMorePeople https://t.co/a6vYmtvgas,danielhalseth,0,"Dallas, TX","['Republican', 'Vote', 'HelpMorePeople']"
17:12:31 23:57:33,"@SahanMandiraci @coin_bulten Oylamada 2. Sırada binancede kazanırsa oylamayı binance ye girecek. 

#XP #Cryptocurrency every #vote is #important. Let's get #XP to #Binance. Vote here ➡️ https://t.co/vdHCKIiad4 ⬅️ At the end of #voting we will distribute #XP #Bounty - posted at $XP #Discord",kilicaslan_tr,0,Türkiye,"['XP', 'Cryptocurrency', 'vote', 'important', 'XP', 'Binance', 'voting', 'XP', 'Bounty', 'Discord']"
17:12:31 23:55:55,Take a minute and go vote for us for Best Bouncers and Best Rock Club! #boc2018 #vote https://t.co/1KNGc4oezB,MusicFarm,0,"32 Ann St. Charleston, SC","['boc2018', 'vote']"
17:12:31 23:55:19,"#Resist 
#Vote
#2018isComing https://t.co/nUpo8c6af1",TheRealRealTCL,0,Your dreams,"['Resist', 'Vote', '2018isComing']"
17:12:31 23:51:06,@conorsen Voter Registration forms/instructions make great 18th birthday gifts! #vote #yourvoteyourvoice #register #electionready2018,yourjennyrose,4,"Indianapolis, IN ","['vote', 'yourvoteyourvoice', 'register', 'electionready2018']"
17:12:31 23:49:04,#Vote! It matters. 👇 https://t.co/wMRv8MOS5a,RunRichRun,0,AnthropocenePhillyLënapehòkink,['Vote']
17:12:31 23:48:26,One of the easiest &amp; most rewarding resolutions is to commit to becoming an informed voter. You'll model civic engagement while electing leaders you support &amp; strengthening democracy! Add voting to your list! #txed #vote @TeachTheVote @Texans4E @pastors4txkids @TACSnet @tasbnews https://t.co/0VoMFXTUob,TxEdVote,122,"Austin, TX","['txed', 'vote']"
17:12:31 23:19:20,@realDonaldTrump 2018 will be an even great year when Donnie is impeached and the fall elections reclaim our nation. #ImpeachTrumpANDPenceNow #FlipItBlue #Vote #resist #tw,gailphardie,0,"Mount Pleasant, SC","['ImpeachTrumpANDPenceNow', 'FlipItBlue', 'Vote', 'resist', 'tw']"
17:12:31 23:16:44,#Georgia #GA #election #vote https://t.co/OQi1MykXZ5,suzrdg,0,Los Angeles,"['Georgia', 'GA', 'election', 'vote']"
17:12:31 23:16:22,#Georgia #GA #election #vote https://t.co/zhfeUL1DBt,suzrdg,0,Los Angeles,"['Georgia', 'GA', 'election', 'vote']"
17:12:31 23:06:08,In 2018 you have to choose between the shit hole that this current administration has made or a better America in the right path. #Vote #Maga #MakeAmericaGreatAgain for real no @GOP or @TheDemocrats bullshit.,EldredDValley,0,"Toa Baja, Puerto Rico","['Vote', 'Maga', 'MakeAmericaGreatAgain']"
17:12:31 22:50:18,On this #NewYearsEve I reflect on how wonderful #Canada is. No bombs fall. Police are not entrepreneurial. We are free to pursue our dreams. Let's not forget it can be taken away. Wether @liberal_party or @CPC_HQ we must defend our next election. #FreedomIsntFree #Vote,RescinderCDN,0,Canada,"['NewYearsEve', 'Canada', 'FreedomIsntFree', 'Vote']"
17:12:31 22:46:29,Early Hall of Fame Voting for 2018 Shows No Surge for Bonds and Clemens #vote https://t.co/nvmCudQE10 https://t.co/L6fp2Rjpai,NewsInnOfficial,0,,['vote']
17:12:31 22:44:59,Join me in supporting Andrew Janz via @actblue https://t.co/UrqiWOELin Found another new person to support. It you aren't happy with our gov't then #vote #donatemoney #flipitblue,kivascout,0,,"['vote', 'donatemoney', 'flipitblue']"
17:12:31 22:40:29,#Resist #vote #ImpeachNow https://t.co/AnS0LcZNFJ,askamantoo,0,"West Hollywood, CA","['Resist', 'vote', 'ImpeachNow']"
17:12:31 22:35:17,投票しよう！ tagtee ( TagTee ) の【VOTE】Tシャツ ∞ SUZURI（スズリ） https://t.co/YwTCW1S2U5 #suzurijp #VOTE #選挙 #投票,tagteebot,0,,"['suzurijp', 'VOTE', '選挙', '投票']"
17:12:31 22:35:08,#president #vote Women's bible site:Media or #WikiLeaks will be a  winner in #election2016 https://t.co/VeHTnwIfFJ https://t.co/CwzAwY2GPG,FutureWorldCen,0,UK,"['president', 'vote', 'WikiLeaks', 'election2016']"
17:12:31 22:32:13,"There's almost no doubt #2018 will still be a #dumpsterfire of a #year, but how one perceives this particular image of it differs wildly… 
The best thing we can all to do put out all those new fires is to #vote later in the year.

#newyeareve #newyea… https://t.co/RpruSJRXtK https://t.co/ZWnGXfgrI3",Joseph_Santoro,0,"Washington, DC 20009","['dumpsterfire', 'year', 'vote', 'newyeareve', 'newyea']"
17:12:31 22:30:19,"#Vote: Premios TVyNovelas 2018.

@MaiteOficial - Mejor Actriz Protagónica. https://t.co/cXb0mqhBSR

@reginawicz - Mejor Revelación Femenina. https://t.co/qcwHC18X6S

@sebastianrulli - Mejor Actor Protagónico https://t.co/c5pxC1Deap https://t.co/ICdpnngVo4",monikavicca,3,Mexico ,['Vote']
17:12:31 22:30:09,"#Vote for your favourite Placecol Treatment to get your skin healthy and ready for 2018 and stand a chance to win a spot for yourself and a friend on the #SuperSokkieCruise2018

#PlacecolSkinCare#MSCSinfonia #Foodforyourface #nurturebynature #Fun in the Sun! Kurt Darren https://t.co/T4X2lYDd9a",PSC_Aesthetic,0,,"['Vote', 'SuperSokkieCruise2018', 'Foodforyourface', 'nurturebynature', 'Fun']"
17:12:31 22:30:08,"#Vote for your favourite Placecol Treatment to get your skin healthy and ready for 2018 and stand a chance to win a spot for yourself and a friend on the #SuperSokkieCruise2018

#PlacecolSkinCare#MSCSinfonia #Foodforyourface #nurturebynature #Fun in the Sun! Kurt Darren https://t.co/xkVJbiv7dD",Placecolsa,1,"Sandton, South Africa","['Vote', 'SuperSokkieCruise2018', 'Foodforyourface', 'nurturebynature', 'Fun']"
17:12:31 22:27:25,Voting closes today for The Global Gurus #Leadership List! Get your #vote in before it closes. --&gt; https://t.co/SxXfTFDNoz https://t.co/Ml1c9DXG9E,Mark_Sanborn,0,"Denver, CO","['Leadership', 'vote']"
17:12:31 22:26:53,"Happy Birthday #BenKingsley! 🎂

What's your favorite TV series📺 or movie🎬 Ben has starred in?

#Gandhi #SexyBeast #SchindlersList #Hugo

#Vote ☑ &amp; 🔁 #Retweet!",MoviesTVPolls,2,"Hollywood, FL","['BenKingsley', 'Gandhi', 'SexyBeast', 'SchindlersList', 'Hugo', 'Vote', 'Retweet']"
17:12:31 22:14:38,#GOP #GOPTaxScam #GOPTaxPlan #GOPTaxBill #WakeUp #VoteThemOut #VoteOutTheGOP #Vote #Vote2018 #Vote2020 #stribpol #MN03 #replacepaulsen  #GOPlies #TaxCutsandJobsAct #bluewave #PinkSlipPaulsen #Taxreform #TaxScamBill https://t.co/vMObTxiUop,Paulsen_Trump,0,,"['GOP', 'GOPTaxScam', 'GOPTaxPlan', 'GOPTaxBill', 'WakeUp', 'VoteThemOut', 'VoteOutTheGOP', 'Vote', 'Vote2018', 'Vote2020', 'stribpol', 'MN03', 'replacepaulsen', 'GOPlies', 'TaxCutsandJobsAct', 'bluewave', 'PinkSlipPaulsen', 'Taxreform', 'TaxScamBill']"
17:12:31 22:12:00,"@Education4Libs Please...please...don’t give up CA, be smart an #VOTE all of those brainless #Dumbliberals out of office!!!! COME ON!!!!",WNiners,1,,"['VOTE', 'Dumbliberals']"
17:12:31 22:09:37,"Happy New Year from your friends at Minevotes 🎉🌍❤️

#happynewyear #Minecraft #Servers #vote #newyear #Fun #playnow #Minevotes https://t.co/CKj07mMNE7",MineVotes,1,Minecraft,"['happynewyear', 'Minecraft', 'Servers', 'vote', 'newyear', 'Fun', 'playnow', 'Minevotes']"
17:12:31 22:07:49,My New Year's promises: I will #resist. I will #persist. I will #vote.  #TheResistance #TheResistanceVOTES #BlueWave2018 #Bluewave #FlipItBlue #BlueTsunami2018 #BlueTsunami https://t.co/Ku5CInxRS8,DonnaCardillo11,2,"Union, NJ","['resist', 'persist', 'vote', 'TheResistance', 'TheResistanceVOTES', 'BlueWave2018', 'Bluewave', 'FlipItBlue', 'BlueTsunami2018', 'BlueTsunami']"
17:12:31 22:04:46,"#NewYearEve2018 
#GovernorAngelRivera2018
@realDonaldTrump 
#AmericaFirst
#Florida
#NoSharia 
#DTS
#VOTE
#MAGA
🇺🇸🎈🎉🎈🇺🇸 https://t.co/0QeVCugLbi",TeamTrumpUSA,0,USA,"['NewYearEve2018', 'GovernorAngelRivera2018', 'AmericaFirst', 'Florida', 'NoSharia', 'DTS', 'VOTE', 'MAGA']"
17:12:31 22:02:30,Yes! Good one via @HelenLyon6 #Represent #vote https://t.co/mtFBXK5kEH,closethegapCA,0,"California, USA","['Represent', 'vote']"
17:12:31 21:56:51,The latest Maria's Music Daily! https://t.co/2MseWMZfHK Thanks to @RealRockAndRoll #vote,Maria_Savva,0,London,['vote']
17:12:31 21:50:36,"@BillTufts @Swiftie01 I belong to an Association, not a union. One more fact you were unaware of?

How big of you to care about our fairness. 😂😂😂😂

What's a union boss?

Why does the public need to know where my money is spent?

Budgets are transparent and democratic to the members. #vote",GCarabine,1,,['vote']
17:12:31 21:48:38,My last tweet of 2017. #Vote’em out 2018/2020. The thieving #GOP will face the wrath of the #AmericanMiddleClass #BlueTsunami2018!,JohnAStewart7,0,Nevada,"['Vote', 'GOP', 'AmericanMiddleClass', 'BlueTsunami2018']"
17:12:31 21:45:12,"RT @kesslers_curse: Ok first up for 2018 in my anime schedule, which boxset should b le 1st up for the year? #twitterpoll #vote #anime #RageOfBahamut #PingPong #TokyoGhoulA #BluRay #watchlist #animechallenge",pingpong_tables,0,"London, England","['twitterpoll', 'vote', 'anime', 'RageOfBahamut', 'PingPong', 'TokyoGhoulA', 'BluRay', 'watchlist', 'animechallenge']"
17:12:31 21:37:53,"@McM0M2131 @krassenstein for real.
get those #IDsNOW.
check you name, check you address, check your zip code.
BE PREPARED FOR POLICE AT THE POLLS.
They don't BELONG there but they WILL BE THERE. especially in minority precincts.
CHECK ONLINE FOR old tickets/warrants.
get in line early.
#PushBack #Vote",Scylla_Charybds,1,"New Mexico, USA 🏜     ","['IDsNOW', 'PushBack', 'Vote']"
17:12:31 21:29:30,"Did you enjoy Today's #Top25🏆 show 🎙🔥 on @TrendCityRadio ?❓

#TrendCityRadio #Vote #RT",TrendCityShow,6,"Los Angeles, California","['Top25', 'TrendCityRadio', 'Vote', 'RT']"
17:12:31 21:26:20,"@realDonaldTrump Come on #VOTE #MAGA strengthen your voice! #WeThePeople turn those blue sanctuary cities blue. VOTE to restore your values, silence to negative vitriolic speech peace thru strength!  #PROUDAMERICAN",48AllieB,0,,"['VOTE', 'MAGA', 'WeThePeople', 'PROUDAMERICAN']"
17:12:31 21:20:32,#VOTE #UBSDetEksi2k14 #SMAN17SURABAYA @deteksijp ayo,pitulassowl,0,,"['VOTE', 'UBSDetEksi2k14', 'SMAN17SURABAYA']"
17:12:31 21:14:07,"#Kefera #DaniRusso #DaniNoce #TacieleAlcolea #TheGrandTour  #AFazendaFinal #OdeioPesoasQ  #SextaDetremuraSDV 

#Youtube #YoutubeBrasil #Internet #Vote #ad #invasor #irmãosneto #gordoquesóficoufamosoporseramigodefamoso 

#playlistdefunksópramostrararaba #treta https://t.co/0epbAOFqdW",canalnbt5,6,,"['Kefera', 'DaniRusso', 'DaniNoce', 'TacieleAlcolea', 'TheGrandTour', 'AFazendaFinal', 'OdeioPesoasQ', 'SextaDetremuraSDV', 'Youtube', 'YoutubeBrasil', 'Internet', 'Vote', 'ad', 'invasor', 'irmãosneto', 'gordoquesóficoufamosoporseramigodefamoso', 'playlistdefunksópramostrararaba', 'treta']"
17:12:31 21:13:41,Please stop by and #vote for Dancing Rainbows in the On Fire For Handmade #GreatFindsContest...thank you &lt;3 https://t.co/7w94oamHHN,DanceRainbows,0,Arizona,"['vote', 'GreatFindsContest']"
17:12:31 21:12:37,"#Kefera #DaniRusso #DaniNoce #TacieleAlcolea #TheGrandTour  #AFazendaFinal #OdeioPesoasQ  #SextaDetremuraSDV
#Youtube #YoutubeBrasil #Internet #Vote #Linda #Engraçada #Engrassadíssima #Look #AdNightShow https://t.co/0epbAOFqdW",canalnbt5,6,,"['Kefera', 'DaniRusso', 'DaniNoce', 'TacieleAlcolea', 'TheGrandTour', 'AFazendaFinal', 'OdeioPesoasQ', 'SextaDetremuraSDV', 'Youtube', 'YoutubeBrasil', 'Internet', 'Vote', 'Linda', 'Engraçada', 'Engrassadíssima', 'Look', 'AdNightShow']"
17:12:31 21:07:50,"@TheTobster111 @ssconetwothree1 @deborahkass @peterdaou @HillaryClinton YOU R THE #BEST #GO #GET #EM. AFTER #REPUBLICANS #REVEALED #THIER #WET #DREAM OF #GETTING #RID OF #SENIORS #SOCIAL #SECURITY, #MEDICAID, #PENSIONS, I'M SURE THEY'LL  BE MORE THAN READY TO #ADD TO THE #TSUNAMI TIME TO #RID OURSELVES OF THESE #PARASITES #VOTE 2O18",CrumpTrump,0,,"['BEST', 'GO', 'GET', 'EM', 'REPUBLICANS', 'REVEALED', 'THIER', 'WET', 'DREAM', 'GETTING', 'RID', 'SENIORS', 'SOCIAL', 'SECURITY', 'MEDICAID', 'PENSIONS', 'ADD', 'TSUNAMI', 'RID', 'PARASITES', 'VOTE']"
17:12:31 21:06:29,The latest The Extreme Writing Now Daily! https://t.co/hdCOOx6u2X Thanks to @charlino @rfamovie #winelovers #vote,Extreme_Writing,0,,"['winelovers', 'vote']"
17:12:31 21:01:30,#difficultdecisions #vote #dontknowwhattodo https://t.co/GP5oNqYBRO,GabbaWinter,0,Coatzitsssss,"['difficultdecisions', 'vote', 'dontknowwhattodo']"
17:12:31 20:56:16,If we want a better #2018 that offers opportunity for all its up to us. Happy New Year. Don't forget to #Vote.,Will_Wintersmet,0,"Rhode Island, USA",['Vote']
17:12:31 20:50:22,#VOTE #UBSDetEksi2k14 #SMAN17SURABAYA @deteksijp,pitulassowl,0,,"['VOTE', 'UBSDetEksi2k14', 'SMAN17SURABAYA']"
17:12:31 20:49:40,@washingtonpost He’s complicit in helping #Russia and is trying to save his neck. @GOP enables those undermining #America 🇺🇸. #Vote them out in 2018.,TamraparniDasu,0,,"['Russia', 'America', 'Vote']"
17:12:31 20:48:52,Last day to #Vote help us get in the #Top10 by taking a sec to vote for @illizem #TimeBomb on… https://t.co/E8aAMd1Oti,Live4everBrand,0,Dallas Texas,"['Vote', 'Top10', 'TimeBomb']"
17:12:31 20:40:21,#Vote2018 #vote #votingday #Resistance #VoteBlue2018 #SpreadTheWord #tellpeople #Voting #votingrules #votingplaces #group #resist2018,PJMurphIII,0,"Illinois, USA","['Vote2018', 'vote', 'votingday', 'Resistance', 'VoteBlue2018', 'SpreadTheWord', 'tellpeople', 'Voting', 'votingrules', 'votingplaces', 'group', 'resist2018']"
17:12:31 20:40:00,"#Kefera #DaniRusso #DaniNoce #TacieleAlcolea #TheGrandTour  #AFazendaFinal #OdeioPesoasQ  #SextaDetremuraSDV 

#Youtube #YoutubeBrasil #Internet #Vote #ad #invasor #irmãosneto #gordoquesóficoufamosoporseramigodefamoso 

#playlistdefunksópramostrararaba #treta https://t.co/XLQSOgGLzW",canalnbt5,6,,"['Kefera', 'DaniRusso', 'DaniNoce', 'TacieleAlcolea', 'TheGrandTour', 'AFazendaFinal', 'OdeioPesoasQ', 'SextaDetremuraSDV', 'Youtube', 'YoutubeBrasil', 'Internet', 'Vote', 'ad', 'invasor', 'irmãosneto', 'gordoquesóficoufamosoporseramigodefamoso', 'playlistdefunksópramostrararaba', 'treta']"
17:12:31 20:38:13,"#Kefera #DaniRusso #DaniNoce #TacieleAlcolea #TheGrandTour  #AFazendaFinal #OdeioPesoasQ  #SextaDetremuraSDV
#Youtube #YoutubeBrasil #Internet #Vote #Linda #Engraçada #Engrassadíssima #Look #AdNightShow https://t.co/XLQSOgGLzW",canalnbt5,6,,"['Kefera', 'DaniRusso', 'DaniNoce', 'TacieleAlcolea', 'TheGrandTour', 'AFazendaFinal', 'OdeioPesoasQ', 'SextaDetremuraSDV', 'Youtube', 'YoutubeBrasil', 'Internet', 'Vote', 'Linda', 'Engraçada', 'Engrassadíssima', 'Look', 'AdNightShow']"
17:12:31 20:36:50,"Happy Birthday @valkilmer! 🎂

What's your favorite TV series📺 or movie🎬 #ValKilmer has starred in?

#TopGun #Tombstone #BatmanForever #TheSaint

#Vote ☑ &amp; 🔁 #Retweet!",MoviesTVPolls,5,"Hollywood, FL","['ValKilmer', 'TopGun', 'Tombstone', 'BatmanForever', 'TheSaint', 'Vote', 'Retweet']"
17:12:31 20:22:23,"@CaptainsLog2017 @HarleyRouda @1IronMan2018 @AgentScullyGR @Nataliew1020 @BryanDawsonUSA @exoticgamora @StormResist @LunaLuvgood2017 @OriginalJLP @BatmanResist Yeah, I'd say #California should #vote for the guy who doesn't have a code name given to him by a foreign adversary. #CA48",MxdUpShookUpGrl,0,,"['California', 'vote', 'CA48']"
17:12:31 20:20:30,@Rachael_Swindon Labour can &amp; will reverse it all to allow everyone a happy and comfortable life. #vote Labour. Working towards a more equal society.,RenshawKaren,2,,['vote']
17:12:31 20:20:26,"@WomanResistorNC @Blu__Storm @NeoResists @1Jedi_Rey @TheSWPrincess @realRogueLeader @RulingVenus @exoticgamora @CaptJaneway2017 @lfkraus @SpockResists #CommitToFlip

🌊🌊🌊🌊🌊🌊🌊
2018 will be the year of the #BlueTsunami

#Vote
#VoteBlue2018 
#VoteThemOut2018 
#BlueWave2018 https://t.co/tcX8JdAjIv",TrinityResists,22,The Matrix – PNW,"['CommitToFlip', 'BlueTsunami', 'Vote', 'VoteBlue2018', 'VoteThemOut2018', 'BlueWave2018']"
17:12:31 20:17:53,"Here's the list of Republicans retiring from Congress in 2018 that will help

#TheResistance #FlipItBlue #Vote #BlueTsunami #Election2018 #ItsMuellerTime  #ImpeachTrump #LockHimUp #FireTheGOP  

@CNNPolitics https://t.co/2eslaggxVK",gollum1419_g,6,,"['TheResistance', 'FlipItBlue', 'Vote', 'BlueTsunami', 'Election2018', 'ItsMuellerTime', 'ImpeachTrump', 'LockHimUp', 'FireTheGOP']"
17:12:31 20:16:32,"@RanttNews Apparently the @republicans do not care! If they did, they would have been motivated when @Steve Scalise got shot up!!! They don’t even care when one of their own gets #gunned down. Why should they care about  #Americans ? #vote every @republican out of office",highspeed5534,0,,"['gunned', 'Americans', 'vote']"
17:12:31 20:14:29,Last day to vote for Friends of Down Syndrome! #RFARHouston #HouMarathon #HoustonHalf #marathon #downsyndrome #nonprofit #charity #vote https://t.co/KEp8ZFcF1F,FriendsDownSyn,1,"Houston, TX","['RFARHouston', 'HouMarathon', 'HoustonHalf', 'marathon', 'downsyndrome', 'nonprofit', 'charity', 'vote']"
17:12:31 20:09:32,I’m gender fluid so a can shite in a urinal #progressive #vote labour #champagneSocialist #labourReallyCaresAboutThePeeple #lol @Ben_Sneddon @ItsJamesLambie @realDonaldTrump,Paul_Glen,2,,"['progressive', 'vote', 'champagneSocialist', 'labourReallyCaresAboutThePeeple', 'lol']"
17:12:31 20:07:45,#Words #banned for the #newyear? '#Fakenews' gets top #vote https://t.co/qpiRWn2AI5,_k3l50,0,,"['Words', 'banned', 'newyear', 'Fakenews', 'vote']"
17:12:31 20:04:44,"@cathmartingreen @greenparty_ie @ivanabacik @MarcellaCK @OireachtasNews @sinead_mccoole @Fiona_Kildare @UKVote100 @GraceOSllvn @ColetteKelleher @gabmcfadden 100 years of the #vote , still waiting for permission to decide about our own bodies! #trustUs #trustWomen",munsterfnatic,1,crosshaven,"['vote', 'trustUs', 'trustWomen']"
17:12:31 20:01:17,Happy New Year 🎊🎆🎈 In 2018 let’s do more to protect our citizens #PRStrong🇵🇷👍🏾 #Vote https://t.co/DpWx5HDYyV,ronaldfparsons,1,"Atlanta, GA","['PRStrong', 'Vote']"
17:12:31 20:00:55,"After Net Neutrality Vote, Fake Comments Are Still Flooding US Federal Websites #vote https://t.co/6SPEk8f9aC - content published by https://t.co/wJ0R7qDHPW",grahamnaylor201,0,"Bangor, Wales GREAT BRITAIN ",['vote']
17:12:31 19:56:08,"#Poll who should be the person of the year 2017__?

#PersonOfTheYear #personoftheyear2017 
#HappyNewYear2018 #IndianArmy #HappyNewYear #YearInReview2017 #Hello2018 #BB11 #Padmavati #PadmavatiRow #TripleTalaqBill #pakistanidrama
( #vote and rt)",DareToTruth_jnu,0,"JNU, New Delhi","['Poll', 'PersonOfTheYear', 'personoftheyear2017', 'HappyNewYear2018', 'IndianArmy', 'HappyNewYear', 'YearInReview2017', 'Hello2018', 'BB11', 'Padmavati', 'PadmavatiRow', 'TripleTalaqBill', 'pakistanidrama', 'vote']"
17:12:31 19:49:58,"The #Dem Party will NOT GET 1 #Vote if H.R. 40 is NOT IN THEIR PLATFORM/AGENDA....
#WakeUp 
Stop being a Pawn... You are Kungs and Queens... 
Do You know who ...YOU ARE!!!??? https://t.co/NK4A3i2Gcm",DebbiDelicious,0,In Love with every breath...,"['Dem', 'Vote', 'WakeUp']"
17:12:31 19:46:59,"Ακάου της χρονιάς 
@Lampatzampa 
@apostolosa62 
@karalaik #βραβεία_τουίτερ2017 #vote #βραβεια_τουιτερ2017",TheWriteHand77,2,somewhere in the universe,"['βραβεία_τουίτερ2017', 'vote', 'βραβεια_τουιτερ2017']"
17:12:31 19:46:21,"2017 was the year of Resistance.
2018 will be the year of Revival. #2018 #Vote https://t.co/8Pkf25sO3Q",SpencerDirrig,0,"Columbus, OH",['Vote']
17:12:31 19:41:27,@MADSr23 @babyDtheceo #vote #NBAAllStar https://t.co/tKZ3E5OYaP,MissNatalieNYC,0,Everywhere Except Nowhere,"['vote', 'NBAAllStar']"
17:12:31 19:30:28,Take a moment and help this person out with a #vote. Click on this post for details! Gbemisola Bamiduro - The post Gbemisola Bamiduro appeared first on Get Online Votes. https://t.co/emL9VwYLDT,GetOnlineVotes,0,Worldwide,['vote']
17:12:31 19:17:24,"Volunteer
Be The Change
#Vote
https://t.co/UJOC7jE1vX
https://t.co/c2xX7JpR8f
https://t.co/dyencJ5mNs
https://t.co/tWVMsdGfDz
https://t.co/Aktz3IqJzt
https://t.co/iRahZp2lUM
https://t.co/r0934bAHmj
https://t.co/qCTUHLDrll
https://t.co/JBCY6roufk
https://t.co/0FBR7Bth3M",GuthrieDavis,17,Florida,['Vote']
17:12:31 19:11:22,#SweetFreedom #SweetVictoies  #Sweet2018 - #Cloud #Connect #Share #GOTV #VOTE - #Allies #Artists #Dems #Dreamers #Independents #Indivisibleds #Labor #Nevertrumpers #Nurses #Professionals #Resisters #Students #Teachers #Techs #Youths #Victims - #DumpTrumpTrumpers - #heartseveryone,raygibbs1,0,"Washington, D. C. ","['SweetFreedom', 'SweetVictoies', 'Sweet2018', 'Cloud', 'Connect', 'Share', 'GOTV', 'VOTE', 'Allies', 'Artists', 'Dems', 'Dreamers', 'Independents', 'Indivisibleds', 'Labor', 'Nevertrumpers', 'Nurses', 'Professionals', 'Resisters', 'Students', 'Teachers', 'Techs', 'Youths', 'Victims', 'DumpTrumpTrumpers', 'heartseveryone']"
17:12:31 19:10:33,"Today is the final day to #vote for #TokyoJournal's 2017 #rankings! Vote for your favorite things about #Japanese #entertainment, #popculture, #travel and #food! 
https://t.co/ZC4Y3q9JPw https://t.co/d9JsBKHy7U",TokyoJournal1,1,"Tokyo, Japan","['vote', 'TokyoJournal', 'rankings', 'Japanese', 'entertainment', 'popculture', 'travel', 'food']"
17:12:31 19:07:20,"If you make any resolution this year, make it to register to vote. Get involved. Participate. #Vote #Register",SenorHamlin,2,"Arlington, VA","['Vote', 'Register']"
17:12:31 19:05:51,"https://t.co/NPTgoQqpsq

LET YOUR VOICES BE HEARD!  #Vote for your choices to win #YearEnd #awards2017 from the #Rap and #Wrestling Connection.  Tell your friends.  Tell your enemies.  Tell your mom and dad and grandma.",TheRWConnection,2,,"['Vote', 'YearEnd', 'awards2017', 'Rap', 'Wrestling']"
17:12:31 19:01:09,"@RepErikPaulsen #WakeUp #VoteThemOut #VoteOutTheGOP #Vote #Vote2018 #Vote2020 #stribpol #MN03 #replacepaulsen  #GOPlies #TaxCutsandJobsAct #bluewave #PinkSlipPaulsen #Taxreform #TaxScamBill 
https://t.co/Oe0LtbsHmf https://t.co/yKQ4heYbeV",Paulsen_Trump,0,,"['WakeUp', 'VoteThemOut', 'VoteOutTheGOP', 'Vote', 'Vote2018', 'Vote2020', 'stribpol', 'MN03', 'replacepaulsen', 'GOPlies', 'TaxCutsandJobsAct', 'bluewave', 'PinkSlipPaulsen', 'Taxreform', 'TaxScamBill']"
17:12:31 18:58:06,#vote for our own@djswissivory #dj #grindindj #swissmade #grindin #bestswissdj… https://t.co/3rIkQ0F6eI,GrindinRadio,0,"Las Vegas, NV","['vote', 'dj', 'grindindj', 'swissmade', 'grindin', 'bestswissdj']"
17:12:31 18:58:03,@RepErikPaulsen #GOP #GOPTaxScam #GOPTaxPlan #GOPTaxBill #WakeUp #VoteThemOut #VoteOutTheGOP #Vote #Vote2018 #Vote2020 #stribpol #MN03 #replacepaulsen  #GOPlies #TaxCutsandJobsAct #bluewave #PinkSlipPaulsen #Taxreform #TaxScamBill https://t.co/Ei3KOipgco,Paulsen_Trump,0,,"['GOP', 'GOPTaxScam', 'GOPTaxPlan', 'GOPTaxBill', 'WakeUp', 'VoteThemOut', 'VoteOutTheGOP', 'Vote', 'Vote2018', 'Vote2020', 'stribpol', 'MN03', 'replacepaulsen', 'GOPlies', 'TaxCutsandJobsAct', 'bluewave', 'PinkSlipPaulsen', 'Taxreform', 'TaxScamBill']"
17:12:31 18:58:03,"what will happen in 2018?
#vote",brazilskillz,0,"England, United Kingdom",['vote']
17:12:31 18:55:22,https://t.co/NnAPoNIcsz #vote4Gianluca #vote &amp; #retweet,Henry_StAnne,0,"Rochester, NY","['vote4Gianluca', 'vote', 'retweet']"
17:12:31 18:53:18,#vote for my son #Retweet #support #babies https://t.co/NnAPoNIcsz,Henry_StAnne,0,"Rochester, NY","['vote', 'Retweet', 'support', 'babies']"
17:12:31 18:53:16,"The new #vote system has arrived.
Viva la transparencia!! ✊️

@HorizonState #HorizonState #hst #Cryptocurreny #crypto https://t.co/GH7PXApQtk",narcube,0,,"['vote', 'HorizonState', 'hst', 'Cryptocurreny', 'crypto']"
17:12:31 18:51:47,"We have work to do.
#Volunteer https://t.co/HhsXoJtm5z 
A Week
A Day
An Hour
Or A Few Minutes
Volunteer your time. Make a difference. Make our country inclusive once more. This is our time. This is your Time. Make a difference. Be the Change. Bring Freedom Home. #Vote https://t.co/LbLrweQT3Y",GuthrieDavis,6,Florida,"['Volunteer', 'Vote']"
17:12:31 18:48:29,"When polls backfire...
#Retweet #Vote https://t.co/YGxlTL4QyC",Angstipated,0,NSK State,"['Retweet', 'Vote']"
