Datetime,Username,Text,Retweets,Replies,Likes,Quotes,Language,Location,Hashtags
22:11:29 12:42:30,InnovacionFP,"Lxs alumnxs de 2o de Transporte y Logística y Comercio Internacional han visitado la Feria Internacional de Autobús y Autocar celebrada en #IFEMA 🚌

#MásQueFP #iFP #GrupoPlaneta #Empresas #Innovación #FP #Educación #FIAA #iFPCamarillo https://t.co/dWlcrAKa94",1,0,2,0,es,Madrid / Barcelona / Online,"['IFEMA', 'MásQueFP', 'iFP', 'GrupoPlaneta', 'Empresas', 'Innovación', 'FP', 'Educación', 'FIAA', 'iFPCamarillo']"
22:11:29 11:51:11,MajovaZukile,"https://t.co/2fvA3UHGWO
#ByElections2022 #ANCNEC #ANC #IFP",0,0,0,0,qme,,"['ByElections2022', 'ANCNEC', 'ANC', 'IFP']"
22:11:29 09:54:56,GALMorgan01,"La fausse bonne idée 🧐
#clima #écologie #Energienouvelles #IFP

https://t.co/6B7jPrNMnx",0,0,0,0,fr,GUINGAMP,"['clima', 'écologie', 'Energienouvelles', 'IFP']"
22:11:29 08:00:03,IFP_Tech,"Cybercriminals who have access to your login details can cause irreversible damage to your business. 

So how secure are your accounts and are you taking the right steps to make PAM a success? 

👉 Find out here: https://t.co/CYswmNIrEs 
#IFP #IFPTech #EndpointSecurity",0,0,0,0,en,,"['IFP', 'IFPTech', 'EndpointSecurity']"
22:11:29 03:31:17,thisisgslate,"What a night! GreenSlate would like to congratulate all the winners, as well as our friends at The Gotham, for a successful show. #ifp #gothamawards https://t.co/fYwIrsMAvs",0,0,0,0,en,"Los Angeles, California","['ifp', 'gothamawards']"
22:11:29 00:05:35,thisisgslate,Almost showtime...#GothamAwards #IFP #entertainment https://t.co/yFDmEX2Uwz,0,0,1,0,en,"Los Angeles, California","['GothamAwards', 'IFP', 'entertainment']"
22:11:28 23:31:57,thisisgslate,Welcome to the GreenSlate Greenroom #GothamAwards #behindthescenes #IFP https://t.co/3z2jxc7pCp,0,0,0,0,en,"Los Angeles, California","['GothamAwards', 'behindthescenes', 'IFP']"
22:11:28 23:18:00,thisisgslate,The stage is set and we're ready to go! #GothamAwards #IFP #AwardsSeason https://t.co/eGqdc1cjAJ,0,0,2,0,en,"Los Angeles, California","['GothamAwards', 'IFP', 'AwardsSeason']"
22:11:28 21:05:29,IFPChis,"El Instituto de Formación Policial del Estado de Chiapas participó en el Torneo Relámpago de Fútbol 7 femenil en conmemoración del Día de la Eliminación de la Violencia Contra la Mujer, obteniendo el primer lugar.

#SaberMásParaServirMejor
#ChiapasDeCorazón
#IFP https://t.co/pU2GfImee8",0,0,2,0,es,"Tuxtla Gutiérrez, Chiapas","['SaberMásParaServirMejor', 'ChiapasDeCorazón', 'IFP']"
22:11:28 16:59:40,NewsroomOdisha,#IFFI #MegastarChiranjeevi  conferred with Indian Film Personality award  #IFP  @NewsroomOdisha https://t.co/jkMcVwr6vZ,0,0,0,0,en,"Bhubaneshwar, India","['IFFI', 'MegastarChiranjeevi', 'IFP']"
22:11:28 16:51:27,CultOfChiru,"Okapdu vajrotsvalu function lo manam goa dhaka kuda vellalekapoyam ani gambira swaramtho matladina annayya krushi tho, pattudhalatho, thanu ankunte sadhinchalenidhi edhi undadhani #IFFI2022 ku vellatame kakunda #IFP ennikai marosari nirupincharu
#PrideOfIndianCinemaChiranjeevi",1,0,3,0,et,,"['IFFI2022', 'IFP', 'PrideOfIndianCinemaChiranjeevi']"
22:11:28 08:00:03,IFP_Marketing,"Keeping email subscribers engaged with your content is a daunting task for many businesses. 

So how do you keep them craving for more? 🤷‍♂️

Here are 29 must-try newsletter ideas that’ll impress your readers: https://t.co/RTmoj2bpkD 
#IFP #IFPMarketing #Newsletter #ContentIdeas",0,0,0,0,en,,"['IFP', 'IFPMarketing', 'Newsletter', 'ContentIdeas']"
22:11:28 06:28:37,IloveRockchip,"Powered by RK3588, MAXHUB launched conference #IFP V6 Classic Series.
// Refine Meeting Efficiency: CPU,GPU,NPU all are upgraded. Support #8K  decoding
// Support dual 4K UI and AI PQ/SR
// 48MP camera ensures crisp detail 
// Support 12 meter ultra distant pickup https://t.co/A0VEEFbYBR",0,0,2,0,en,"Fuzhou, China","['IFP', '8K']"
22:11:28 04:12:55,beten_smart,"🔺#Beten Customized 75 Inch I series Interactive Flat Panel for clients
 https://t.co/5PoY4ZcLP9

#interactivewhiteboard #IFP #Conference #school #education #interactiveboard #interactiveflatpanel #betensmart #interactivedisplayboard  #interactivescreen  #interactivetouchmonitor https://t.co/w6uwZwMIFn",0,0,0,0,en,,"['Beten', 'interactivewhiteboard', 'IFP', 'Conference', 'school', 'education', 'interactiveboard', 'interactiveflatpanel', 'betensmart', 'interactivedisplayboard', 'interactivescreen', 'interactivetouchmonitor']"
22:11:27 12:01:38,InnovacionFP,"HOY ES EL DÍA DEL PROFESOR

¡Gracias por vuestra paciencia, compromiso y dedicación! Vosotrxs sois la clave para formar a lxs futuros profesionales 👏

#MásQueFP #iFP #GrupoPlaneta #Empresas #Innovación #FP #Educación #DíadelProfesor #Profesor https://t.co/bbEnc9oTxF",0,0,1,0,es,Madrid / Barcelona / Online,"['MásQueFP', 'iFP', 'GrupoPlaneta', 'Empresas', 'Innovación', 'FP', 'Educación', 'DíadelProfesor', 'Profesor']"
22:11:27 04:20:59,42566657PL,@niehaus_carl Former #IFP Councellor?,0,0,1,0,en,davos,['IFP']
22:11:26 19:00:57,mollox,"@LarryPDonnelly I presume they're the same #IrishFreedomParty scum who terrorised refugees at East Wall in recent days.
They don't represent Ireland, just their own little cluster of small-dicked bigots acting like big men.
Eunuchs! 
#IFP",0,1,4,0,en,,"['IrishFreedomParty', 'IFP']"
