Text,Datetime,Location,Hashtags,polarity,subjectivity
whitecapital runs anc even uses courts decides order subdue blackmanvoteeff,14:12:31 18:26:03,South Africa,"['WhiteCapital', 'ANC', 'SA', 'VoteEFF']",0.0,0.0
matricresults u past beetifel black joef make cross 4 anc municipal elections 2015 u owe zuma,14:12:30 22:27:51,Vereeniging,"['MatricResults', 'ANC', 'Zuma']",-0.13888888888888887,0.22777777777777777
next generation mampara voters anc education policy gr 11 pupils promoted without passing via,14:12:30 06:46:43,South Africa,"['Mampara', 'ANC']",0.0,0.0
anc imagine nr1 b praised even aft voted mampara yr 3 x succecion,14:12:29 12:04:56,Pretoria,['ANC'],0.0,0.0
clear anc policy oversee education system mainly focused upon producing steady stream mampara voters,14:12:29 06:43:19,South Africa,['ANC'],0.14444444444444446,0.4055555555555555
2015 year 2016 local elections foresee fights eff anc ifp,14:12:28 17:56:36,"Polokwane, South Africa","['EFF', 'ANC', 'IFP']",0.0,0.0
jz tells cabinet garner votes anc wc job run news,14:12:23 15:33:54,South Africa,"['JZ', 'ANC']",0.0,0.0
since asking questions chaos dictator eff represent voters like anc parly cant cake eat,14:12:23 11:36:45,"Pretoria, South Africa","['EFF', 'ANC']",0.0,0.0
wonder judgment live hope anc voting cattle listening,14:12:23 10:07:40,"Kimberley, South Africa",['ANC'],0.13636363636363635,0.5
taxpayers rid arch leech parasite kinggoodwillzwelethini vote anc bought support power,14:12:21 09:17:00,"Cape Town, South Africa","['KingGoodwillZwelethini', 'ANC']",0.0,0.0
zuma2014 u time vote right mps anc madiba cryin eff put paper well vote,14:12:19 10:48:48,South Africa,"['Zuma2014', 'SouthAfrica', 'MP', 'ANC', 'Madiba', 'EFF']",0.2857142857142857,0.5357142857142857
anc cannot afford electricity anc election2014 posters still vaalwater limpopo,14:12:19 09:02:44,"Pretoria, South Africa","['ANC', 'ANC', 'Election2014']",0.0,0.0
voteshedding deal anc,14:12:18 08:01:03,South Africa,['ANC'],0.0,0.0
naive voters doesnt matter governs country long people anc,14:12:16 17:07:54,Johannesburg,['ANC'],-0.175,0.7
gauteng important eff got 10 percent vote province huge potential anc alternative effpeoplesassembly,14:12:16 05:16:57,South Africa,"['EFF', 'ANC', 'EFFPEOPLESASSEMBLY']",0.26666666666666666,0.9666666666666667
eish cant mess gauteng delegates voters anc proof effassembly,14:12:15 17:53:24,South Africa,"['ANC', 'EFFAssembly']",-0.175,0.175
anc loves claim represent poor order r118 million worth tshirts china 2014 election,14:12:15 14:06:07,"Cape Town, South Africa",['ANC'],-0.05000000000000002,0.35
anc tried avoid paying sars r41 mill customs duty 2014 election tshirts shld bought local 1st place,14:12:15 14:01:38,"Cape Town, South Africa","['ANC', 'SARS']",0.0,0.0
organisation wants fight ruling anc policies fighting votes yet sabcnews h,14:12:15 04:10:27,"Durban, South Africa","['ANC', 'sabcnews']",0.2,0.1
majority country understood communism really wont vote anc democracy elusion,14:12:14 15:47:45,"South Africa, East Rand",['anc'],0.2,0.2
air da anc eff would worried relevance voters launches unitedfront,14:12:14 07:02:41,South Africa,"['DA', 'ANC', 'EFF', 'UnitedFront']",0.0,0.0
air da anc eff would worried relevance voters launches unitedfront,14:12:14 06:53:15,South Africa,"['DA', 'ANC', 'EFF', 'UnitedFront']",0.0,0.0
anc spent r118million campaign tshirts r41million customs duty 2014 elections mailampguardian,14:12:13 08:38:33,Johannesburg,"['ANC', 'mail']",-0.1,0.1
1 theron cant trust anything anc presentbut know guilty voting da,14:12:12 14:57:36,South Africa,"['ANC', 'DA']",-0.5,1.0
theres rules rest must step line sars purge anc election tshirts,14:12:12 11:21:52,South Africa,"['Sars', 'ANC', 'Tshirts']",0.0,0.0
president jacobzuma connected christian salvation voting anc mampg,14:12:12 07:43:36,"Johannesburg, South Africa","['JacobZuma', 'ANC']",0.0,0.0
anc sabcnews govt try get workers votes church unions govt mix deadly brew,14:12:11 14:45:33,South Africa,"['ANC', 'SABCNews']",-0.2,0.4
press yes municipal elections far away eskom anc,14:12:09 12:47:54,Pretoria,"['Eskom', 'ANC']",0.1,1.0
keep voting anc stay dark another decadeloadshedding,14:12:09 08:06:03,Johannesburg,"['ANC', 'loadshedding']",-0.15,0.4
bitch eskom still vote anc continue vote youre part problem,14:12:09 05:16:25,South Africa,"['Eskom', 'ANC']",0.0,0.0
anc abused parly elections maimane,14:12:09 04:31:19,"Johannesburg, South Africa",['ANC'],0.0,0.0
anc operates mogalakwena byelections symptoms terminally ill democracy,14:12:08 19:06:06,South Africa,['Anc'],-0.5,1.0
anc abused parliament aftr elections,14:12:08 17:10:15,South Africa,"['ANC', 'SouthAfrica']",0.0,0.0
